Lon,Lat,Clave,Edo,Est,Tmax
-101.51,20.43,ABSGJ,GTO,ABASOLO,24.9
-98.38,24.06,ABSTP,TAMPS,ABASOLO,22.1
-116.9,32.44,ALRBN,BC,ABELARDO L. RODRIGUEZ,23.3
-97.97,20.17,ACJPB,PUE,ACAJETE                           *,22.2
-92.8,16.55,ACACP,CHIS,ACALA,28.5
-100.71,20.03,ACNGJ,GTO,ACAMBARO,23.9
-99.75,16.76,76805,GRO,ACAPULCO,33.2
-99.9,16.84,ACAGR,GRO,ACAPULCO,28.8
-96.84,19.7,ACAVC,VER,ACATLAN,17.6
-103.23,22.33,ACHZC,ZAC,ACHIMEC,23.2
-110.21,30,ACNSO,SON,ACONCHI,24.2
-98.94,20.26,ACTHD,HGO,ACTOPAN,24.5
-96.58,19.49,ACTVC,VER,ACTOPAN,25.6
-108.7,25.7,ARCSI,SIN,ADOLFO RUIZ CORTINEZ,29.8
-99.5,17.5,AERGR,GRO,AEROPUERTO,29.0
-100.93,25.55,ARACL,COAH,AEROPUERTO DE RAMOS ARIZPE,17.8
-104.48,26.23,APRDR,DGO,AGUA PUERCA,19.2
-101.62,20.49,ATBGJ,GTO,AGUA TIBIA,23.1
-102.29,21.85,76571,AGS,AGUASCALIENTES,21.4
-102.3,21.89,AGSAG,AGS,AGUASCALIENTES,22.6
-104.07,25.26,AM2DR,DGO,AGUSTIN MELGAR (EHCA),24.3
-98.14,20.03,AHUPB,PUE,AHUAZOTEPEC,15.1
-97.41,19.45,ACHPB,PUE,ALCHICHICA,18.9
-100.84,28.33,ADLCL,COAH,ALLENDE,18.4
-111.83,30.71,76113,SON,ALTAR,25.8
-111.73,30.71,ALTSO,SON,ALTAR,26.2
-97.23,19.76,ALTVC,VER,ALTOTONGA,15.0
-107.46,25.03,AWSSI,SIN,ANDREW WEISS,31.0
-92.75,16.44,ANGCP,CHIS,ANGOSTURA,28.5
-97.84,20.41,APAPB,PUE,APAPANTILLA,24.7
-102.27,19.08,APTMC,MICH,APATZINGAN                          *,32.7
-93.9,16.24,76840,CHIS,ARRIAGA,32.0
-93.89,16.24,AROCP,CHIS,ARRIAGA METEOROLÓGICO,32.2
-98.4,18.9,ATXPB,PUE,ATLIXCO,24.6
-103.46,21.81,ATGZC,ZAC,ATOLINGA,20.6
-107.91,25.85,GD2SI,SIN,BACURATO (HIDRO) P.GUSTAVO DÍAZ ORDAZ,30.9
-98.16,18.89,BDDPB,PUE,BALCON DEL DIABLO,21.3
-98.95,21.74,BLMSL,SLP,BALLESMI,23.3
-96.72,17.07,BAEOX,OAX,BASE AEREA,25.0
-104.05,19.91,BBAJL,JAL,BASILIO BADILLO,32.8
-107.72,27.03,BTPCH,CHIH,BATOPILAS,31.0
-89.25,19.83,BECYC,YUC,BECANCHEN,27.2
-91.48,17.43,BDCTB,TAB,BOCA DEL CERRO,26.9
-91.48,17.42,BOCADELCERRO,TAB,BOCA DEL CERRO,25.1
